file,group,expected_category,expected_color,expected_occasions,expected_seasons
dress_floral_04.jpg,category,dress,,social,spring|summer
dress_formal_red_08.webp,category,dress,,social,spring|summer
dress_knit_brown_05.webp,category,dress,,social,spring|summer
dress_long_blue_03.webp,category,dress,,social,spring|summer
dress_midi_white_02.webp,category,dress,,social,spring|summer
dress_mini_black_01.webp,category,dress,,social,spring|summer
dress_shirt_blue.jpg,category,dress,,social,spring|summer
dress_sleeveless_green_06.jpg,category,dress,,social,spring|summer

outer_blazer_black_02.webp,category,outer,,business_casual|campus_casual,autumn|winter
outer_blazer_navy_08.jpg,category,outer,,business_casual|campus_casual,autumn|winter
outer_cardigan_beige_05.webp,category,outer,,business_casual|campus_casual,autumn|winter
outer_coat_brown_03.webp,category,outer,,business_casual|campus_casual,autumn|winter
outer_denim_jacket_blue_01.webp,category,outer,,business_casual|campus_casual,autumn|winter
outer_puffer_black_04.webp,category,outer,,business_casual|campus_casual,autumn|winter
outer_trench_beige_06.jpg,category,outer,,business_casual|campus_casual,autumn|winter
outer_windbreaker_green_07.jpg,category,outer,,business_casual|campus_casual,autumn|winter

pants_jeans_black_01.webp,category,pants,,campus_casual,spring|autumn
pants_jeans_blue_02.webp,category,pants,,campus_casual,spring|autumn
pants_leggings_gray_05.webp,category,pants,,campus_casual,spring|autumn
pants_shorts_khaki_06.webp,category,pants,,campus_casual,spring|autumn
pants_trousers_beige_03.webp,category,pants,,campus_casual,spring|autumn
pants_trousers_black_04.webp,category,pants,,campus_casual,spring|autumn
pants_wideleg_black_07.webp,category,pants,,campus_casual,spring|autumn
pants_wideleg_gray_08.webp,category,pants,,campus_casual,spring|autumn

shoes_boots_black_04.webp,category,shoes,,social|campus_casual,spring|summer|autumn
shoes_flats_beige_05.webp,category,shoes,,social|campus_casual,spring|summer|autumn
shoes_heels_red_06.webp,category,shoes,,social|campus_casual,spring|summer|autumn
shoes_loafers_brown_07.webp,category,shoes,,social|campus_casual,spring|summer|autumn
shoes_sandals_white_03.webp,category,shoes,,social|campus_casual,spring|summer|autumn
shoes_sneakers_black_01.webp,category,shoes,,social|campus_casual,spring|summer|autumn
shoes_sneakers_blue_02.webp,category,shoes,,social|campus_casual,spring|summer|autumn
shoes_sneakers_white_08.webp,category,shoes,,social|campus_casual,spring|summer|autumn

skirt_denim_blue_02.webp,category,skirt,,campus_casual,spring|autumn
skirt_knit_brown_06.webp,category,skirt,,campus_casual,spring|autumn
skirt_long_black_05.webp,category,skirt,,campus_casual,spring|autumn
skirt_midi_beige_03.webp,category,skirt,,campus_casual,spring|autumn
skirt_mini_black_01.webp,category,skirt,,campus_casual,spring|autumn
skirt_mini_red_07.webp,category,skirt,,campus_casual,spring|autumn
skirt_pleated_gray_04.webp,category,skirt,,campus_casual,spring|autumn
skirt_pleated_white_08.webp,category,skirt,,campus_casual,spring|autumn

top_cardigan_brown_07.webp,category,top,,campus_casual,spring|autumn
top_hoodie_gray_05.webp,category,top,,campus_casual,spring|autumn
top_shirt_blue_03.webp,category,top,,campus_casual,spring|autumn
top_shirt_white_04.webp,category,top,,campus_casual,spring|autumn
top_sweater_beige_06.webp,category,top,,campus_casual,spring|autumn
top_tanktop_green_08.webp,category,top,,campus_casual,spring|autumn
top_tshirt_black_02.webp,category,top,,campus_casual,spring|autumn
top_tshirt_white_01.webp,category,top,,campus_casual,spring|autumn
