file,group,subgroup,expected_category,expected_color,expected_occasions,expected_seasons
dress_floral_04.jpg,category,dress,dress,light_beige,social,spring|summer
dress_formal_red_08.webp,category,dress,dress,warm_orange_red,social|professional,spring|summer|autumn
dress_knit_brown_05.webp,category,dress,dress,earth_brown,social|business_casual,autumn|winter
dress_long_blue_03.webp,category,dress,dress,fresh_blue,professional|social,spring|autumn
dress_midi_white_02.webp,category,dress,dress,light_beige,social,spring|summer
dress_mini_black_01.webp,category,dress,dress,dark_gray_black,social,summer
dress_shirt_blue.jpg,category,dress,dress,fresh_blue,business_casual|social,spring|summer
dress_sleeveless_green_06.jpg,category,dress,dress,natural_green,social,summer
outer_blazer_black_02.webp,category,outer,outer,dark_gray_black,professional,spring|autumn
outer_blazer_navy_08.jpg,category,outer,outer,fresh_blue,professional,spring|autumn
outer_cardigan_gray_06.jpg,category,outer,top,neutral_gray,business_casual,spring|autumn
outer_coat_beige_03.jpg,category,outer,outer,light_beige,professional,autumn|winter
outer_denim_jacket_blue_01.jpg,category,outer,outer,fresh_blue,campus_casual,spring|autumn
outer_puffer_black_04.webp,category,outer,outer,dark_gray_black,campus_casual,winter
outer_vest_brown_07.webp,category,outer,outer,earth_brown,campus_casual,spring|autumn
outer_windbreaker_green_05.jpg,category,outer,outer,natural_green,campus_casual,spring|autumn
pants_jeans_blue_01.webp,category,pants,pants,fresh_blue,campus_casual,spring|autumn
pants_jeans_lightblue_07.webp,category,pants,pants,fresh_blue,campus_casual,spring|summer
pants_leggings_black_05.webp,category,pants,pants,dark_gray_black,campus_casual,autumn|winter
pants_shorts_khaki_06.webp,category,pants,pants,earth_brown,campus_casual,summer
pants_trousers_beige_03.jpg,category,pants,pants,light_beige,professional|business_casual,spring|summer|autumn
pants_trousers_black_02.webp,category,pants,pants,dark_gray_black,professional,spring|autumn
pants_trousers_navy_08.jpg,category,pants,pants,fresh_blue,professional,spring|autumn
pants_wideleg_gray_04.webp,category,pants,pants,neutral_gray,professional|business_casual,spring|autumn
shoes_boots_black_07.webp,category,shoes,shoes,dark_gray_black,professional,autumn|winter
shoes_boots_brown_03.webp,category,shoes,shoes,earth_brown,business_casual,autumn|winter
shoes_flats_nude_06.jpg,category,shoes,shoes,light_beige,business_casual|social,spring|summer
shoes_heels_black_05.jpg,category,shoes,shoes,dark_gray_black,professional|social,spring|autumn
shoes_sandals_beige_04.jpg,category,shoes,shoes,light_beige,campus_casual,summer
shoes_sandals_white_08.jpg,category,shoes,shoes,light_beige,social,summer
shoes_sneakers_black_02.webp,category,shoes,shoes,dark_gray_black,campus_casual,spring|autumn
shoes_sneakers_white_01.webp,category,shoes,shoes,light_beige,campus_casual,spring|summer
skirt_a_line_white_05.webp,category,skirt,skirt,light_beige,social,spring|summer
skirt_denim_08.webp,category,skirt,skirt,fresh_blue,campus_casual,spring|summer
skirt_floral_07.jpg,category,skirt,skirt,light_beige,social,spring|summer
skirt_long_blue_03.webp,category,skirt,skirt,fresh_blue,social,spring|summer
skirt_midi_beige_02.webp,category,skirt,skirt,light_beige,social|business_casual,spring|summer
skirt_midi_brown_06.jpg,category,skirt,skirt,earth_brown,social,autumn
skirt_mini_black_01.webp,category,skirt,skirt,dark_gray_black,social,summer
skirt_pleated_gray_04.webp,category,skirt,skirt,neutral_gray,social|business_casual,spring|autumn
top_cardigan_brown_07.webp,category,top,top,earth_brown,business_casual,spring|autumn
top_hoodie_gray_05.webp,category,top,top,neutral_gray,campus_casual,autumn|winter
top_shirt_blue_03.webp,category,top,top,fresh_blue,professional|business_casual,spring|autumn
top_shirt_white_04.webp,category,top,top,light_beige,professional,spring|summer|autumn
top_sweater_beige_06.webp,category,top,top,light_beige,business_casual,autumn|winter
top_tanktop_green_08.webp,category,top,top,natural_green,campus_casual,summer
top_tshirt_black_02.webp,category,top,top,dark_gray_black,campus_casual,summer
top_tshirt_white_01.webp,category,top,top,light_beige,campus_casual,summer
color_butter_yellow_dress_01.webp,color,butter_yellow,dress,butter_yellow,social,spring|summer
color_butter_yellow_outer_01.webp,color,butter_yellow,outer,butter_yellow,business_casual|social,spring|autumn
color_butter_yellow_pants_01.webp,color,butter_yellow,pants,butter_yellow,professional|business_casual,spring|summer
color_butter_yellow_shoes_01.jpg,color,butter_yellow,shoes,butter_yellow,business_casual,spring|summer
color_butter_yellow_skirt_01.jpg,color,butter_yellow,skirt,butter_yellow,social,spring|summer
color_butter_yellow_top_01.jpg,color,butter_yellow,top,butter_yellow,business_casual,spring|summer
color_dark_gray_black_outer_02.jpg,color,dark_gray_black,outer,dark_gray_black,professional,spring|autumn
color_dark_gray_black_shoes_03.jpg,color,dark_gray_black,shoes,dark_gray_black,campus_casual,autumn|winter
color_dark_gray_black_top_01.webp,color,dark_gray_black,top,dark_gray_black,campus_casual,autumn|winter
color_earth_brown_shoes_03.jpg,color,earth_brown,shoes,earth_brown,business_casual,autumn|winter
color_earth_brown_skirt_02.jpg,color,earth_brown,skirt,earth_brown,social|business_casual,spring|autumn
color_earth_brown_top_01.jpg,color,earth_brown,top,earth_brown,business_casual,autumn|winter
