file,group,subgroup,expected_category,expected_color,expected_occasions,expected_seasons
dress_floral_04.jpg,category,dress,dress,,,
dress_formal_red_08.webp,category,dress,dress,,,
dress_knit_brown_05.webp,category,dress,dress,,,
dress_long_blue_03.webp,category,dress,dress,,,
dress_midi_white_02.webp,category,dress,dress,,,
dress_mini_black_01.webp,category,dress,dress,,,
dress_shirt_blue.jpg,category,dress,dress,,,
dress_sleeveless_green_06.jpg,category,dress,dress,,,
outer_blazer_black_02.webp,category,outer,outer,,,
outer_blazer_navy_08.jpg,category,outer,outer,,,
outer_cardigan_gray_06.jpg,category,outer,outer,,,
outer_coat_beige_03.jpg,category,outer,outer,,,
outer_denim_jacket_blue_01.jpg,category,outer,outer,,,
outer_puffer_black_04.webp,category,outer,outer,,,
outer_vest_brown_07.webp,category,outer,outer,,,
outer_windbreaker_green_05.jpg,category,outer,outer,,,
pants_jeans_blue_01.webp,category,pants,pants,,,
pants_jeans_lightblue_07.webp,category,pants,pants,,,
pants_leggings_black_05.webp,category,pants,pants,,,
pants_shorts_khaki_06.webp,category,pants,pants,,,
pants_trousers_beige_03.jpg,category,pants,pants,,,
pants_trousers_black_02.webp,category,pants,pants,,,
pants_trousers_navy_08.jpg,category,pants,pants,,,
pants_wideleg_gray_04.webp,category,pants,pants,,,
shoes_boots_black_07.webp,category,shoes,shoes,,,
shoes_boots_brown_03.webp,category,shoes,shoes,,,
shoes_flats_nude_06.jpg,category,shoes,shoes,,,
shoes_heels_black_05.jpg,category,shoes,shoes,,,
shoes_sandals_beige_04.jpg,category,shoes,shoes,,,
shoes_sandals_white_08.jpg,category,shoes,shoes,,,
shoes_sneakers_black_02.webp,category,shoes,shoes,,,
shoes_sneakers_white_01.webp,category,shoes,shoes,,,
skirt_a_line_white_05.webp,category,skirt,skirt,,,
skirt_denim_08.webp,category,skirt,skirt,,,
skirt_floral_07.jpg,category,skirt,skirt,,,
skirt_long_blue_03.webp,category,skirt,skirt,,,
skirt_midi_beige_02.webp,category,skirt,skirt,,,
skirt_midi_brown_06.jpg,category,skirt,skirt,,,
skirt_mini_black_01.webp,category,skirt,skirt,,,
skirt_pleated_gray_04.webp,category,skirt,skirt,,,
top_cardigan_brown_07.webp,category,top,top,,,
